starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 09 09:11:35 2024	1723187495	0	54	54	50
Fri Aug 09 09:11:28 2024	1723187488	0	65	65	54
Fri Aug 09 09:11:28 2024	1723187488	8	71	79	71
Fri Aug 09 09:11:28 2024	1723187488	5	84	89	83
Fri Aug 09 09:11:28 2024	1723187488	6	114	121	113
Fri Aug 09 09:11:28 2024	1723187488	7	118	125	117
Fri Aug 09 09:11:43 2024	1723187503	0	133	133	63
Fri Aug 09 09:11:43 2024	1723187503	0	148	148	147
Fri Aug 09 09:11:43 2024	1723187503	0	155	155	76
Fri Aug 09 09:11:43 2024	1723187503	0	155	156	112
Fri Aug 09 09:11:28 2024	1723187488	8	178	186	137
Fri Aug 09 09:11:39 2024	1723187499	0	206	206	204
Fri Aug 09 09:11:44 2024	1723187504	0	208	209	207
Fri Aug 09 09:11:39 2024	1723187499	0	210	210	209
Fri Aug 09 09:11:38 2024	1723187498	0	217	217	216
Fri Aug 09 09:11:43 2024	1723187503	0	226	226	84
Fri Aug 09 09:11:39 2024	1723187499	0	271	271	206
Fri Aug 09 09:11:35 2024	1723187495	1	271	272	270
Fri Aug 09 09:11:35 2024	1723187495	1	275	276	274
Fri Aug 09 09:11:35 2024	1723187495	0	278	278	274
Fri Aug 09 09:11:38 2024	1723187498	0	299	299	291
Fri Aug 09 09:11:42 2024	1723187502	0	310	310	309
Fri Aug 09 09:11:37 2024	1723187497	0	311	311	310
Fri Aug 09 09:11:39 2024	1723187499	0	315	315	266
Fri Aug 09 09:11:44 2024	1723187504	0	319	319	317
Fri Aug 09 09:11:35 2024	1723187495	0	319	319	260
Fri Aug 09 09:11:47 2024	1723187507	0	326	326	277
Fri Aug 09 09:11:35 2024	1723187495	0	326	326	325
Fri Aug 09 09:11:43 2024	1723187503	0	334	334	333
Fri Aug 09 09:11:50 2024	1723187510	0	340	340	338
Fri Aug 09 09:11:43 2024	1723187503	0	350	350	213
Fri Aug 09 09:11:39 2024	1723187499	0	350	350	349
Fri Aug 09 09:11:43 2024	1723187503	0	351	351	213
Fri Aug 09 09:11:38 2024	1723187498	0	352	352	347
Fri Aug 09 09:11:47 2024	1723187507	0	353	353	352
Fri Aug 09 09:11:42 2024	1723187502	0	354	354	177
Fri Aug 09 09:11:47 2024	1723187507	0	357	357	355
Fri Aug 09 09:11:47 2024	1723187507	1	358	358	350
Fri Aug 09 09:11:38 2024	1723187498	0	366	366	246
Fri Aug 09 09:11:42 2024	1723187502	0	369	369	368
Fri Aug 09 09:11:43 2024	1723187503	0	370	370	244
Fri Aug 09 09:11:35 2024	1723187495	0	382	383	370
Fri Aug 09 09:11:35 2024	1723187495	0	383	384	376
Fri Aug 09 09:11:47 2024	1723187507	0	383	384	348
Fri Aug 09 09:11:46 2024	1723187506	0	391	391	389
Fri Aug 09 09:11:41 2024	1723187501	0	392	392	293
Fri Aug 09 09:11:52 2024	1723187512	1	393	394	284
Fri Aug 09 09:11:47 2024	1723187507	0	397	397	369
Fri Aug 09 09:11:39 2024	1723187499	1	399	400	388
Fri Aug 09 09:11:46 2024	1723187506	0	400	401	226
Fri Aug 09 09:11:41 2024	1723187501	0	401	401	399
Fri Aug 09 09:11:43 2024	1723187503	0	406	406	239
Fri Aug 09 09:11:45 2024	1723187505	0	406	407	406
Fri Aug 09 09:11:35 2024	1723187495	0	410	410	396
Fri Aug 09 09:11:50 2024	1723187510	0	412	412	411
Fri Aug 09 09:11:43 2024	1723187503	0	412	412	257
Fri Aug 09 09:11:50 2024	1723187510	0	415	415	370
Fri Aug 09 09:11:39 2024	1723187499	0	415	415	352
Fri Aug 09 09:11:34 2024	1723187494	0	419	419	407
Fri Aug 09 09:11:35 2024	1723187495	0	420	421	389
Fri Aug 09 09:11:41 2024	1723187501	0	425	425	423
Fri Aug 09 09:11:41 2024	1723187501	0	426	426	425
Fri Aug 09 09:11:28 2024	1723187488	7	420	427	420
Fri Aug 09 09:11:50 2024	1723187510	0	428	428	396
Fri Aug 09 09:11:50 2024	1723187510	0	429	429	428
Fri Aug 09 09:11:42 2024	1723187502	0	431	431	430
Fri Aug 09 09:11:35 2024	1723187495	0	436	436	409
Fri Aug 09 09:11:35 2024	1723187495	0	437	437	436
Fri Aug 09 09:11:31 2024	1723187491	0	438	439	323
Fri Aug 09 09:11:42 2024	1723187502	0	438	439	334
Fri Aug 09 09:11:47 2024	1723187507	0	441	441	436
Fri Aug 09 09:11:44 2024	1723187504	0	441	441	368
Fri Aug 09 09:11:30 2024	1723187490	0	444	444	440
Fri Aug 09 09:11:39 2024	1723187499	0	446	446	423
Fri Aug 09 09:11:35 2024	1723187495	0	447	447	386
Fri Aug 09 09:11:37 2024	1723187497	0	447	447	382
Fri Aug 09 09:11:47 2024	1723187507	0	450	450	435
Fri Aug 09 09:11:52 2024	1723187512	0	450	451	449
Fri Aug 09 09:11:47 2024	1723187507	0	450	451	387
Fri Aug 09 09:11:52 2024	1723187512	0	451	451	406
Fri Aug 09 09:11:42 2024	1723187502	0	452	452	339
Fri Aug 09 09:11:43 2024	1723187503	0	463	463	461
Fri Aug 09 09:11:35 2024	1723187495	0	467	467	457
Fri Aug 09 09:11:40 2024	1723187500	0	468	469	467
Fri Aug 09 09:11:52 2024	1723187512	0	476	476	474
Fri Aug 09 09:11:37 2024	1723187497	0	477	477	261
Fri Aug 09 09:11:50 2024	1723187510	0	477	477	476
Fri Aug 09 09:11:50 2024	1723187510	0	478	478	346
Fri Aug 09 09:11:50 2024	1723187510	0	479	480	385
Fri Aug 09 09:11:38 2024	1723187498	0	482	483	481
Fri Aug 09 09:11:37 2024	1723187497	0	484	484	450
Fri Aug 09 09:11:42 2024	1723187502	0	485	485	372
Fri Aug 09 09:11:47 2024	1723187507	0	485	485	391
Fri Aug 09 09:11:48 2024	1723187508	0	487	488	487
Fri Aug 09 09:11:38 2024	1723187498	0	491	491	383
Fri Aug 09 09:11:47 2024	1723187507	0	491	491	485
Fri Aug 09 09:11:50 2024	1723187510	0	492	492	443
Fri Aug 09 09:11:38 2024	1723187498	0	493	493	385
Fri Aug 09 09:11:43 2024	1723187503	0	496	496	314
Fri Aug 09 09:11:37 2024	1723187497	0	498	498	328
Fri Aug 09 09:11:28 2024	1723187488	5	496	500	493
Fri Aug 09 09:11:52 2024	1723187512	0	505	506	504
Fri Aug 09 09:11:44 2024	1723187504	0	506	506	426
Fri Aug 09 09:11:41 2024	1723187501	0	507	507	316
Fri Aug 09 09:11:46 2024	1723187506	0	508	508	506
Fri Aug 09 09:11:52 2024	1723187512	0	508	508	477
Fri Aug 09 09:11:37 2024	1723187497	0	508	509	471
Fri Aug 09 09:11:44 2024	1723187504	0	510	510	509
Fri Aug 09 09:11:39 2024	1723187499	0	512	512	454
Fri Aug 09 09:11:37 2024	1723187497	0	513	513	476
Fri Aug 09 09:11:30 2024	1723187490	0	516	516	515
Fri Aug 09 09:11:46 2024	1723187506	0	517	517	437
Fri Aug 09 09:11:50 2024	1723187510	0	523	523	484
Fri Aug 09 09:11:44 2024	1723187504	0	523	523	436
Fri Aug 09 09:11:52 2024	1723187512	0	523	524	400
Fri Aug 09 09:11:32 2024	1723187492	2	522	524	521
Fri Aug 09 09:11:41 2024	1723187501	0	526	526	436
Fri Aug 09 09:11:39 2024	1723187499	2	525	526	479
Fri Aug 09 09:11:35 2024	1723187495	0	529	529	525
Fri Aug 09 09:11:50 2024	1723187510	0	529	530	413
Fri Aug 09 09:11:37 2024	1723187497	0	530	530	500
Fri Aug 09 09:11:31 2024	1723187491	0	530	530	529
